Date,MP
2020-06-22,10.0
2020-06-23,9.90999984741211
2020-06-24,9.779999732971191
2020-06-25,9.899999618530273
2020-06-26,9.9399995803833
2020-06-29,9.968999862670898
2020-06-30,9.970000267028809
2020-07-01,9.970000267028809
2020-07-02,10.0
2020-07-06,9.899999618530273
2020-07-07,10.050000190734863
2020-07-08,9.979999542236328
2020-07-09,10.0
2020-07-10,10.020000457763672
2020-07-13,10.0
2020-07-14,10.0
2020-07-15,10.989999771118164
2020-07-16,10.699999809265137
2020-07-17,10.930000305175781
2020-07-20,11.279999732971191
2020-07-21,12.399999618530273
2020-07-22,14.880000114440918
2020-07-23,14.4399995803833
2020-07-24,13.649999618530273
2020-07-27,13.09000015258789
2020-07-28,12.630000114440918
2020-07-29,12.100000381469727
2020-07-30,12.119999885559082
2020-07-31,11.800000190734863
2020-08-03,11.649999618530273
2020-08-04,11.630000114440918
2020-08-05,12.0
2020-08-06,11.75
2020-08-07,11.460000038146973
2020-08-10,12.279999732971191
2020-08-11,12.100000381469727
2020-08-12,11.899999618530273
2020-08-13,12.199999809265137
2020-08-14,12.170000076293945
2020-08-17,12.199999809265137
2020-08-18,12.0
2020-08-19,12.170000076293945
2020-08-20,12.239999771118164
2020-08-21,12.0
2020-08-24,12.039999961853027
2020-08-25,12.029999732971191
2020-08-26,12.0
2020-08-27,12.699999809265137
2020-08-28,13.460000038146973
2020-08-31,13.5
2020-09-01,13.399999618530273
2020-09-02,14.289999961853027
2020-09-03,14.600000381469727
2020-09-04,15.15999984741211
2020-09-08,15.109999656677246
2020-09-09,14.5
2020-09-10,14.020000457763672
2020-09-11,14.0
2020-09-14,14.600000381469727
2020-09-15,15.34000015258789
2020-09-16,15.199999809265137
2020-09-17,14.789999961853027
2020-09-18,15.050000190734863
2020-09-21,14.5
2020-09-22,14.25
2020-09-23,13.5
2020-09-24,13.890000343322754
2020-09-25,14.100000381469727
2020-09-28,14.149999618530273
2020-09-29,13.979999542236328
2020-09-30,13.579999923706055
2020-10-01,14.239999771118164
2020-10-02,14.0
2020-10-05,14.1899995803833
2020-10-06,13.529999732971191
2020-10-07,13.6899995803833
2020-10-08,13.619999885559082
2020-10-09,13.899999618530273
2020-10-12,14.319999694824219
2020-10-13,13.65999984741211
2020-10-14,13.449999809265137
2020-10-15,14.0
2020-10-16,13.880000114440918
2020-10-19,14.010000228881836
2020-10-20,13.779999732971191
2020-10-21,13.699999809265137
2020-10-22,13.420000076293945
2020-10-23,13.350000381469727
2020-10-26,12.800000190734863
2020-10-27,12.210000038146973
2020-10-28,11.229999542236328
2020-10-29,11.390000343322754
2020-10-30,11.109999656677246
2020-11-02,11.079999923706055
2020-11-03,11.460000038146973
2020-11-04,11.529999732971191
2020-11-05,11.930000305175781
2020-11-06,11.789999961853027
2020-11-09,11.460000038146973
2020-11-10,12.399999618530273
2020-11-11,13.289999961853027
2020-11-12,13.65999984741211
2020-11-13,13.890000343322754
2020-11-16,14.0
2020-11-17,14.390000343322754
2020-11-18,15.09000015258789
2020-11-19,15.729999542236328
2020-11-20,16.75
2020-11-23,18.799999237060547
2020-11-24,22.229999542236328
2020-11-25,22.290000915527344
2020-11-27,21.709999084472656
2020-11-30,21.520000457763672
2020-12-01,20.549999237060547
2020-12-02,20.90999984741211
2020-12-03,22.110000610351562
2020-12-04,23.059999465942383
2020-12-07,27.68000030517578
2020-12-08,26.209999084472656
2020-12-09,26.1299991607666
2020-12-10,25.139999389648438
2020-12-11,26.43000030517578
2020-12-14,26.299999237060547
2020-12-15,25.68000030517578
2020-12-16,28.229999542236328
2020-12-17,32.619998931884766
2020-12-18,32.5099983215332
2020-12-21,35.720001220703125
2020-12-22,39.13999938964844
2020-12-23,36.06999969482422
2020-12-24,35.5099983215332
2020-12-28,34.11000061035156
2020-12-29,30.56999969482422
2020-12-30,32.77000045776367
2020-12-31,32.16999816894531
2021-01-04,29.139999389648438
2021-01-05,29.309999465942383
2021-01-06,29.489999771118164
2021-01-07,29.75
2021-01-08,29.489999771118164
2021-01-11,29.5
2021-01-12,34.68000030517578
2021-01-13,34.70000076293945
2021-01-14,33.18000030517578
2021-01-15,31.8700008392334
2021-01-19,35.54999923706055
2021-01-20,34.529998779296875
2021-01-21,33.86000061035156
2021-01-22,32.68000030517578
2021-01-25,32.599998474121094
2021-01-26,31.610000610351562
2021-01-27,29.8799991607666
2021-01-28,30.280000686645508
2021-01-29,29.170000076293945
2021-02-01,30.93000030517578
2021-02-02,31.40999984741211
2021-02-03,33.41999816894531
2021-02-04,33.79999923706055
2021-02-05,32.25
2021-02-08,32.560001373291016
2021-02-09,35.560001373291016
2021-02-10,38.16999816894531
2021-02-11,36.540000915527344
2021-02-12,35.2599983215332
2021-02-16,40.75
2021-02-17,41.290000915527344
2021-02-18,42.349998474121094
2021-02-19,45.04999923706055
2021-02-22,40.91999816894531
2021-02-23,38.02000045776367
2021-02-24,43.529998779296875
2021-02-25,45.45000076293945
2021-02-26,42.029998779296875
2021-03-01,46.20000076293945
2021-03-02,49.439998626708984
2021-03-03,45.81999969482422
2021-03-04,40.959999084472656
2021-03-05,39.099998474121094
2021-03-08,38.09000015258789
2021-03-09,39.400001525878906
2021-03-10,39.29999923706055
2021-03-11,43.15999984741211
2021-03-12,42.279998779296875
2021-03-15,45.97999954223633
2021-03-16,43.540000915527344
2021-03-17,44.09000015258789
2021-03-18,40.5
2021-03-19,45.9900016784668
2021-03-22,45.150001525878906
2021-03-23,36.900001525878906
2021-03-24,33.439998626708984
2021-03-25,36.209999084472656
2021-03-26,35.0
2021-03-29,33.54999923706055
2021-03-30,34.310001373291016
2021-03-31,35.95000076293945
2021-04-01,35.150001525878906
2021-04-05,34.33000183105469
2021-04-06,34.13999938964844
2021-04-07,34.11000061035156
2021-04-08,35.970001220703125
2021-04-09,36.38999938964844
2021-04-12,35.150001525878906
2021-04-13,34.25
2021-04-14,34.619998931884766
2021-04-15,31.65999984741211
2021-04-16,30.639999389648438
2021-04-19,29.510000228881836
2021-04-20,27.440000534057617
2021-04-21,29.040000915527344
2021-04-22,28.489999771118164
2021-04-23,29.579999923706055
2021-04-26,32.0
2021-04-27,31.8799991607666
2021-04-28,31.649999618530273
2021-04-29,31.739999771118164
2021-04-30,30.040000915527344
2021-05-03,30.549999237060547
2021-05-04,32.13999938964844
2021-05-05,31.489999771118164
2021-05-06,29.309999465942383
2021-05-07,27.690000534057617
2021-05-10,26.479999542236328
2021-05-11,26.68000030517578
2021-05-12,24.799999237060547
2021-05-13,24.610000610351562
2021-05-14,26.139999389648438
2021-05-17,27.450000762939453
2021-05-18,28.09000015258789
2021-05-19,27.389999389648438
2021-05-20,27.450000762939453
2021-05-21,26.489999771118164
2021-05-24,26.479999542236328
2021-05-25,25.8799991607666
2021-05-26,27.34000015258789
2021-05-27,28.049999237060547
2021-05-28,28.079999923706055
2021-06-01,28.309999465942383
2021-06-02,31.690000534057617
2021-06-03,31.360000610351562
2021-06-04,31.639999389648438
2021-06-07,33.0
2021-06-08,35.939998626708984
2021-06-09,33.68000030517578
2021-06-10,32.779998779296875
2021-06-11,32.02000045776367
2021-06-14,33.27000045776367
2021-06-15,31.790000915527344
2021-06-16,33.209999084472656
2021-06-17,32.38999938964844
2021-06-18,30.809999465942383
2021-06-21,31.559999465942383
2021-06-22,32.220001220703125
2021-06-23,33.939998626708984
2021-06-24,34.900001525878906
2021-06-25,34.7599983215332
2021-06-28,35.779998779296875
2021-06-29,35.630001068115234
2021-06-30,36.86000061035156
2021-07-01,37.70000076293945
2021-07-02,37.560001373291016
2021-07-06,37.31999969482422
2021-07-07,36.52000045776367
2021-07-08,36.709999084472656
2021-07-09,36.86000061035156
2021-07-12,38.08000183105469
2021-07-13,35.7400016784668
2021-07-14,35.02000045776367
2021-07-15,34.459999084472656
2021-07-16,33.09000015258789
2021-07-19,32.619998931884766
2021-07-20,33.529998779296875
2021-07-21,34.709999084472656
2021-07-22,34.310001373291016
2021-07-23,35.599998474121094
2021-07-26,35.75
2021-07-27,36.040000915527344
2021-07-28,36.45000076293945
2021-07-29,38.09000015258789
2021-07-30,37.619998931884766
2021-08-02,37.66999816894531
2021-08-03,37.369998931884766
2021-08-04,35.630001068115234
2021-08-05,36.150001525878906
2021-08-06,37.13999938964844
2021-08-09,39.13999938964844
2021-08-10,37.75
2021-08-11,37.9900016784668
2021-08-12,38.040000915527344
2021-08-13,36.75
2021-08-16,33.97999954223633
2021-08-17,33.0099983215332
2021-08-18,33.369998931884766
2021-08-19,32.13999938964844
2021-08-20,30.90999984741211
2021-08-23,31.690000534057617
2021-08-24,33.290000915527344
2021-08-25,33.27000045776367
2021-08-26,32.279998779296875
2021-08-27,33.720001220703125
2021-08-30,33.41999816894531
2021-08-31,33.56999969482422
2021-09-01,33.220001220703125
2021-09-02,34.61000061035156
2021-09-03,34.369998931884766
2021-09-07,34.47999954223633
2021-09-08,32.779998779296875
2021-09-09,33.369998931884766
2021-09-10,34.11000061035156
2021-09-13,35.619998931884766
2021-09-14,34.040000915527344
2021-09-15,35.15999984741211
2021-09-16,33.970001220703125
2021-09-17,34.11000061035156
2021-09-20,31.639999389648438
2021-09-21,31.149999618530273
2021-09-22,31.510000228881836
2021-09-23,32.18000030517578
2021-09-24,34.150001525878906
2021-09-27,35.09000015258789
2021-09-28,33.58000183105469
2021-09-29,32.189998626708984
2021-09-30,32.22999954223633
2021-10-01,31.889999389648438
2021-10-04,30.8700008392334
2021-10-05,30.329999923706055
2021-10-06,29.56999969482422
2021-10-07,30.43000030517578
2021-10-08,30.209999084472656
2021-10-11,30.899999618530273
2021-10-12,31.989999771118164
2021-10-13,32.59000015258789
2021-10-14,33.040000915527344
2021-10-15,33.97999954223633
2021-10-18,34.060001373291016
2021-10-19,35.15999984741211
2021-10-20,36.220001220703125
2021-10-21,35.38999938964844
2021-10-22,36.5099983215332
2021-10-25,38.099998474121094
2021-10-26,33.47999954223633
2021-10-27,32.7599983215332
2021-10-28,34.66999816894531
2021-10-29,33.849998474121094
2021-11-01,34.439998626708984
2021-11-02,33.84000015258789
2021-11-03,34.939998626708984
2021-11-04,37.040000915527344
2021-11-05,36.61000061035156
2021-11-08,41.689998626708984
2021-11-09,42.540000915527344
2021-11-10,38.83000183105469
2021-11-11,42.65999984741211
2021-11-12,46.38999938964844
2021-11-15,43.4900016784668
2021-11-16,43.84000015258789
2021-11-17,44.619998931884766
2021-11-18,43.540000915527344
2021-11-19,42.70000076293945
2021-11-22,41.43000030517578
2021-11-23,41.689998626708984
2021-11-24,44.099998474121094
2021-11-26,42.560001373291016
2021-11-29,45.369998931884766
2021-11-30,43.939998626708984
2021-12-01,42.790000915527344
2021-12-02,43.97999954223633
2021-12-03,41.47999954223633
2021-12-06,41.7400016784668
2021-12-07,42.63999938964844
2021-12-08,44.15999984741211
2021-12-09,45.41999816894531
2021-12-10,47.2599983215332
2021-12-13,43.380001068115234
2021-12-14,41.86000061035156
2021-12-15,42.56999969482422
2021-12-16,41.849998474121094
2021-12-17,42.47999954223633
2021-12-20,42.09000015258789
2021-12-21,43.70000076293945
2021-12-22,43.52000045776367
2021-12-23,43.119998931884766
2021-12-27,46.400001525878906
2021-12-28,44.900001525878906
2021-12-29,44.560001373291016
2021-12-30,45.2599983215332
2021-12-31,45.41999816894531
2022-01-03,47.650001525878906
2022-01-04,50.400001525878906
2022-01-05,45.5099983215332
2022-01-06,45.310001373291016
2022-01-07,45.52000045776367
2022-01-10,45.720001220703125
2022-01-11,47.720001220703125
2022-01-12,49.439998626708984
2022-01-13,45.88999938964844
2022-01-14,46.83000183105469
2022-01-18,46.880001068115234
2022-01-19,44.58000183105469
2022-01-20,42.349998474121094
2022-01-21,39.33000183105469
2022-01-24,40.09000015258789
2022-01-25,39.220001220703125
2022-01-26,38.970001220703125
2022-01-27,37.45000076293945
2022-01-28,37.959999084472656
2022-01-31,39.939998626708984
2022-02-01,40.36000061035156
2022-02-02,39.36000061035156
2022-02-03,33.75
2022-02-04,35.83000183105469
2022-02-07,37.56999969482422
2022-02-08,38.119998931884766
2022-02-09,39.36000061035156
2022-02-10,39.029998779296875
2022-02-11,40.029998779296875
2022-02-14,40.720001220703125
2022-02-15,43.2400016784668
2022-02-16,43.9900016784668
2022-02-17,41.599998474121094
2022-02-18,41.310001373291016
2022-02-22,40.97999954223633
2022-02-23,40.84000015258789
2022-02-24,43.849998474121094
2022-02-25,46.849998474121094
2022-02-28,45.619998931884766
2022-03-01,41.029998779296875
2022-03-02,41.97999954223633
2022-03-03,40.09000015258789
2022-03-04,38.95000076293945
2022-03-07,39.369998931884766
2022-03-08,43.77000045776367
2022-03-09,45.47999954223633
2022-03-10,45.70000076293945
2022-03-11,43.72999954223633
2022-03-14,40.540000915527344
2022-03-15,41.540000915527344
2022-03-16,43.95000076293945
2022-03-17,43.79999923706055
2022-03-18,47.040000915527344
2022-03-21,49.099998474121094
2022-03-22,48.93000030517578
2022-03-23,50.0
2022-03-24,56.5
2022-03-25,54.810001373291016
2022-03-28,54.52000045776367
2022-03-29,54.63999938964844
2022-03-30,56.400001525878906
2022-03-31,57.34000015258789
2022-04-01,56.540000915527344
2022-04-04,58.2599983215332
2022-04-05,54.470001220703125
2022-04-06,53.34000015258789
2022-04-07,54.0
2022-04-08,52.47999954223633
2022-04-11,51.56999969482422
2022-04-12,49.119998931884766
2022-04-13,51.41999816894531
2022-04-14,49.06999969482422
2022-04-18,46.56999969482422
2022-04-19,47.5
2022-04-20,45.2400016784668
2022-04-21,42.439998626708984
2022-04-22,41.16999816894531
2022-04-25,41.63999938964844
2022-04-26,38.150001525878906
2022-04-27,38.7599983215332
2022-04-28,40.0
2022-04-29,38.040000915527344
2022-05-02,38.68000030517578
2022-05-03,39.529998779296875
2022-05-04,40.59000015258789
2022-05-05,39.75
2022-05-06,37.689998626708984
2022-05-09,38.290000915527344
2022-05-10,36.08000183105469
2022-05-11,34.20000076293945
2022-05-12,34.08000183105469
2022-05-13,35.47999954223633
2022-05-16,35.310001373291016
2022-05-17,38.689998626708984
2022-05-18,36.959999084472656
2022-05-19,38.939998626708984
2022-05-20,38.220001220703125
2022-05-23,39.2599983215332
2022-05-24,36.81999969482422
2022-05-25,38.27000045776367
2022-05-26,39.400001525878906
2022-05-27,40.130001068115234
2022-05-31,39.43000030517578
2022-06-01,38.970001220703125
2022-06-02,38.560001373291016
2022-06-03,38.709999084472656
2022-06-06,40.099998474121094
2022-06-07,42.130001068115234
2022-06-08,39.2599983215332
2022-06-09,38.470001220703125
2022-06-10,37.189998626708984
2022-06-13,34.16999816894531
2022-06-14,35.099998474121094
2022-06-15,35.56999969482422
2022-06-16,32.380001068115234
2022-06-17,32.959999084472656
2022-06-21,34.029998779296875
2022-06-22,33.27000045776367
2022-06-23,32.099998474121094
2022-06-24,35.720001220703125
2022-06-27,35.880001068115234
2022-06-28,35.79999923706055
2022-06-29,34.11000061035156
2022-06-30,32.08000183105469
2022-07-01,31.559999465942383
2022-07-05,31.040000915527344
2022-07-06,30.1200008392334
2022-07-07,32.439998626708984
2022-07-08,31.190000534057617
2022-07-11,29.610000610351562
2022-07-12,29.219999313354492
2022-07-13,29.31999969482422
2022-07-14,28.3700008392334
2022-07-15,28.760000228881836
